Page,Index,Title,DOI,PDFLink,Downloaded
1,88,Design of Broadband High-efficiency Doherty Power Amplifier Based on Class-X Theory,10.1109/APCAP59480.2023.10469821,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10469821,1
1,89,Pulse width modulation for class D audio power amplifier in CMOS 0.18um process with 90% of efficiency,10.1109/ICMCS.2011.5945677,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5945677,1
1,90,Integrated Inductor Class-D Audio Amplifier Modeling & Simulation,10.1109/ICCTA35431.2014.9521612,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9521612,1
1,91,Measurement of Bandpass Sigma-Delta Modulator Coding Efficiency and Pulse Transition Frequency for RF Class D Power Amplifier Applications,10.1109/CCECE.2006.277768,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4054716,1
1,92,Linearity improvement of RF power amplifiers using a simple high-order predistorter for WCDMA applications,10.1109/APMC.2006.4429555,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4429555,1
1,93,A highly efficient Doherty feedforward linear power amplifier for W-CDMA base-station applications,10.1109/TMTT.2004.839341,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1381700,1
1,94,Wideband Class-E power amplifier with flat gain for FM radio transmitters,10.1109/CAMA.2015.7428156,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7428156,1
1,95,Output Power Control in Class-E Power Amplifiers,10.1109/LMWC.2010.2042562,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5430883,1
1,96,Wide band high-efficiency power amplifier design,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102920,1
1,97,Behavioral modeling of high power RF amplifiers using pruned Volterra scheme with IIR basis functions,10.1109/PAWR.2012.6174911,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6174911,1
1,98,A compact 12-watt high-efficiency 2.1-2.7 GHz class-E GaN HEMT power amplifier for base stations,10.1109/MWSYM.2009.5165782,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5165782,1
1,99,Efficiency Optimization of Class-F Power Amplifier at Different Power Levels for Microwave Power Transmission,10.1109/ECCE50734.2022.9947912,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9947912,1
2,0,K-band GaN power amplifier design with a harmonic suppression power combiner,10.1109/PAWR.2017.7875582,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7875582,0
