Page,Index,Title,DOI,PDFLink,Downloaded
3,9,On-line calibration and digital correction of multi-bit sigma-delta modulators,10.1109/VLSIC.2005.1469363,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1469363,0
3,10,2nd Order Distortion Cancellation in Photonic Time Stretch Analog-to-Digital Converter,10.1109/MWSYM.2007.380369,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4263786,0
3,11,Comparison of Analogue and Digital Driving Methods for the LC Cell of a Spatial Light Modulator,10.1109/EDM61683.2024.10615089,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10615089,0
3,12,Subtractive dithering technique for delta-sigma modulator,10.1109/ISCAS.2017.8050371,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8050371,0
3,13,A multi-level cascaded delta-sigma modulator with reduced quantization noise leakage,10.1109/ISMVL51352.2021.00042,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9459649,0
3,14,A 3.3mw 91dB SNR sigma-delta modulator in 0.18μm CMOS process,10.1109/ASICON.2009.5351494,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5351494,0
3,15,Continuous-Time Sigma-Delta Modulator with Oscillator for Phase Locked Loop Wireless Controlled Power Applications,10.1109/CENCON51869.2021.9627274,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9627274,0
3,16,Design of single-loop CT sigma-delta modulators for high resolution -wideband applications using GUI,10.1109/ICECDS.2017.8389764,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8389764,0
3,17,Integral nonlinearity of third order single bit sigma-delta modulator,10.1109/ICCAS.2016.7832514,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7832514,0
3,18,Design of efficient digital interpolation filters and sigma-delta modulator for audio DAC,10.1109/DTIS.2008.4540251,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4540251,0
3,19,Broadband LiNbO/sub 3/ modulator for digital and analog applications,10.1109/MWP.2003.1422907,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1422907,0
3,20,An Energy-Efficient Discrete-Time Delta–Sigma Modulator With Dynamic-Range Enhancement and Tri-Level CDAC,10.1109/JSSC.2024.3371878,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10462157,0
3,21,Using dither to improve the performance of lossy sigma-delta modulators,10.1109/DELTA.2006.94,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1581180,0
3,22,A Design of 14-bits ADC and DAC for CODEC Applications in 0.18 µm CMOS Process,10.1109/DELTA.2008.124,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4459499,0
3,23,A 134-μW 99.4-dB SNDR Audio Continuous-Time Delta-Sigma Modulator With Chopped Negative-R and Tri-Level FIR-DAC,10.1109/JSSC.2020.3032152,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9252136,0
3,24,A passive 2nd-order sigma-delta modulator for low-power analog-to-digital conversion,10.1109/MWSCAS.2014.6908485,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6908485,0
3,25,High order sigma-delta modulator design via sliding mode control,10.1109/ACC.2003.1239137,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1239137,0
3,26,A MATLAB toolbox synthesizing reconfigurable delta-sigma modulators for multi-standard wireless applications,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5733892,0
3,27,A Continuous-Time Delta-Sigma Modulator for RF Subsampling Receivers,10.1109/TCSII.2012.2190860,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6187715,0
3,28,A low-voltage switched-current memory cell based delta sigma modulator,10.1109/ASIC.2001.954746,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=954746,0
3,29,Simulation model of delta-sigma modulator,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5446003,0
3,30,Linearity and ultra-linearization of ring resonator modulators for sub-octave bandpass analog optical links,10.1109/OFC.2006.215804,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1636835,0
3,31,Novel Baseband Analog Beamforming through Resistive DACs and Sigma Delta Modulators,10.1109/ECCTD49232.2020.9218408,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9218408,0
3,32,Time-Interleaved Noise-Coupling Delta-Sigma Modulator Using Modified Noise-Shaped Integrating Quantizer,10.1109/JETCAS.2015.2502163,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7358456,0
3,33,Differential Drive I/Q Modulator Based on Silicon Photonic Electro-Absorption Modulators,10.1109/JLT.2020.2978190,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9024100,0
3,34,"0.36-mW, 52-Mbps True Random Number Generator Based on a Stochastic Delta–Sigma Modulator",10.1109/LSSC.2020.3010901,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9145702,0
3,35,Built-In Self-Test for Low-Voltage High-Speed Analog-to-Digital Converters,10.1109/TIM.2007.908343,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4389150,0
3,36,Digitizing the feedback signal in a magnetic field (AMR) sensor system using delta sigma modulator topology,10.1109/ISOCC.2012.6407052,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6407052,0
3,37,A 4th Order CIFB High Dynamic Range Sigma-Delta Modulator with Multi-level Quantizer and Intrinsically Linear Capacitive DACs,10.1109/ISCAS58744.2024.10558399,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10558399,0
3,38,All Optical GSPS Analog-Digital Converters (ADC),10.1109/IPCon.2019.8908296,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8908296,0
